Taimekaitsevahendi ID,Taimekaitsevahendi nimi,Taimekaitsevahendi liik,Taimekaitsevahendi alamliik,Preparatiivne vorm,Loa valdaja,Loa valdaja aadress,On keemiline,Registreerimise number,Registreerimise kuupäev,Turulelaskmise loa lõpptähtaeg,Müüdav tunnistusega,Ohutuslaused hoiatuslaused,Riskilaused ohulaused,Ohtlikkuse kategooria,Ohumärgid piktogrammid ja tunnussõna,Ohtlikud ained etiketil,Taimekaitsevahendi tootja aadress,Taimekaitsevahendi pakendaja,Pakendi suurus,Vabamüügis olevad pakendid,EL kombineeritud nomenklatuur
264,Teridox 500 EC,Herbitsiid,,Emulsioonikontsentraat,SYNGENTA POLSKA SP. Z.O.O.,"Ul. Szamocka 8, 01-748 Warszawa",True,264,2005-01-21,2027-10-15,True,"P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P301+P310 ALLANEELAMISE KORRAL: võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ;P331 MITTE kutsuda esile oksendamist. ;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P362 Võtta saastunud rõivad seljast ja pesta neid enne järgmist kasutamist. ;P391 Mahavoolanud toode kokku koguda. ;P405 Hoida luku taga. ;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P261 Vältida pihustatud aine sissehingamist.;SPe1 Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud vahendit, mis sisaldab dimetakloori, rohkem kui 1,0 kg dimetakloori hektari kohta samal põllul kolme aasta jooksul;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 meetrit pinnaveekogust. Mittesihtmärktaimede kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 meetrit põllumajanduses mittekasutatavast maast.","H304 Allaneelamisel või hingamisteedesse sattumisel võib olla surmav;H315 Põhjustab nahaärritust;H317 Võib põhjustada allergilist nahareaktsiooni;H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Nahasöövitus/-ärritus - Skin Irrit. 2;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Hingamiskahjustused - Asp. Tox. 1,GHS07;GHS08;GHS09;Ettevaatust,"Sisaldab ohtlikke aineid dimetakloor, naftalahus ja tsükloheksanoon","CH 4002 Basel, Switzerland.",Syngenta Crop Protection AG,5 l HDPE-PA kanister; 10 l HDPE-PA kanister;  20 l HDPE-PA kanister,,38089315
462,Foxtrot,Herbitsiid,,"Emulsioon, õli vees",FMC AGRICULTURAL SOLUTIONS A/S,"Thyborønvej 76-78, DK-7673 Harboøre, Denmark",True,462,2012-05-09,2026-08-15,True,"SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P362 Võtta saastunud rõivad seljast ja pesta neid enne järgmist kasutamist. ;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P261 Vältida pihustatud aine sissehingamist.","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H411 Mürgine veeorganismidele, pikaajaline toime;H317 Võib põhjustada allergilist nahareaktsiooni;H315 Põhjustab nahaärritust",Ohtlik vesikeskkonnale - Aquatic Chronic 2;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Nahasöövitus/-ärritus - Skin Irrit. 2,GHS09;GHS07;Hoiatus,"Sisaldab ohtlikke aineid fenoksaprop-P-etüül, meksüülklokvintotseet ja 1,2-bensisotiasool-3(2H)-oon","P.O. Box 9, DK-7620 Lemvig, Denmark",Cheminova A/S,"0.1 l, 0.5 l, 1 l HDPE pudel; 5 l, 10 l, 15 l, 20 l HDPE kanister",,38089311
00899,Mizuki,Herbitsiid;Desikant,,Emulsioonikontsentraat,"NICHINO EUROPE CO., LTD.",,True,00899,2024-12-13,2032-03-31,True,"P261 Vältida pihustatud aine sissehingamist.;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P305+P351+P338+ P310 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust;P391 Mahavoolanud toode kokku koguda. ;SPe3 Mittesihtmärktaimede kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsikute kombinatsioonist, mille leiab infolehel vastavast tabelist.;SPe3 Veeorganismide kaitsmiseks pidada kinni kulunormile vastavast puhvervööndite ja triivi vähendavate otsikute kombinatsioonist, mille leiab infolehel vastavast tabelist.;P280 Kanda kaitsekindaid ja kaitseprille.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).","H317 Võib põhjustada allergilist nahareaktsiooni;H318 Põhjustab raskeid silmakahjustusi;H371 Võib kahjustada elundeid;EUH066 Korduv kokkupuude võib põhjustada naha kuivust või lõhenemist;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime",Hingamisteede/naha sensibiliseerimine - Skin Sens. 1B;Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 2;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS05;GHS07;GHS08;GHS09;Ettevaatust,"Benseensulfoonhape, C10-13-alküülderivaadid, kaltsiumisoolad","5 Pioneer Court, Vision Park, Histon Cambridge CB24 9PT, UK","Nichino Europe Co., Ltd.",1 L ; 5 L ; 10 L HDPE/PA pudel,,38089390
45,Banvel 4S,Herbitsiid,,Vesilahus/Vees lahustuv kontsentraat,NUFARM  GMBH & CO KG,"St.-Peter Str. 25, A-4021 Linz, Austria",True,45,2009-07-14,2028-03-31,True,SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P391 Mahavoolanud toode kokku koguda. ,"EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H411 Mürgine veeorganismidele, pikaajaline toime",Ohtlik vesikeskkonnale - Aquatic Chronic 2,GHS09;Puudub,Toode sisaldab ohtlikku ainet dimetüülammooniumsool,"CH 4002 Basel, Switzerland","1)Syngenta Crop Protection AG, 2) Nufarm GmbH & Co KG, 3) Chemark Kft","250 ml, 500 ml, 1 l, 5 l",,38089327
287,Devrinol 45 SC,Herbitsiid,,Suspensioonikontsentraat,UPL HOLDINGS COÖPERATIEF U.A.,"Claudius Prinsenlaan 144 A, Blok A, 4818CP Breda, The Netherlands",True,287,2005-12-13,2028-03-31,True,"SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P391 Mahavoolanud toode kokku koguda. ;P270 Toote käitlemise ajal mitte süüa, juua ega suitsetada. ;P102 Hoida lastele kättesaamatus kohas.","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;EUH210 Ohutuskaart nõudmisel kättesaadav;H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH208 Sisaldab 1,2-bensisotiasoliin-3-ooni. Võib esile kutsuda allergilise reaktsiooni.",Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1,GHS09;Hoiatus,,"The Centre, 1st Floor, Birchwood Park, Warrington, Cheshire WA3 6YN, United Kingdom",UPL Europe Ltd,"1 l PET pudel, 5 l HPDE kanister, 10 l HDPE kanister, 20 l HDPE kanister",,38089315
347,Brasan 540 EC,Herbitsiid,,Emulsioonikontsentraat,SYNGENTA POLSKA SP. Z.O.O.,"Ul. Szamocka 8, 01-748 Warszawa",True,347,2008-09-19,2027-10-15,True,"P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P301+P310 ALLANEELAMISE KORRAL: võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P331 MITTE kutsuda esile oksendamist. ;P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust;P391 Mahavoolanud toode kokku koguda. ;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P261 Vältida pihustatud aine sissehingamist.;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;SPe1 Põhjavee kaitsmiseks mitte kasutada seda või ükskõik millist muud vahendit, mis sisaldab dimetakloori, rohkem kui 1,0 kg dimetakloori hektari kohta samal põllul kolme aasta jooksul","H302 Allaneelamisel kahjulik;H304 Allaneelamisel või hingamisteedesse sattumisel võib olla surmav;H315 Põhjustab nahaärritust;H317 Võib põhjustada allergilist nahareaktsiooni;H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH066 Korduv kokkupuude võib põhjustada naha kuivust või lõhenemist;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Äge mürgisus - Acute Tox. 4;Hingamiskahjustused - Asp. Tox. 1;Nahasöövitus/-ärritus - Skin Irrit. 2;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS07;GHS08;GHS09;Ettevaatust,"Sisaldab ohtlikke aineid dimetakloor ja lahustibensiin (nafta), kerged aromaatsed ühendid","4002 Basel, Switzerland",Syngenta Crop Protection AG,"5 l, 10 l ja 20 l kanister",,38089315
515,Variano Xpro,Fungitsiid,,Emulsioonikontsentraat,BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,515,2014-02-20,2026-08-15,True,"P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust;P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P261 Vältida auru ja pihustatud aine sissehingamist;P264 Pärast käitlemist pesta hoolega vahendiga kokkupuutunud kehaosi.;P410 Hoida päikesevalguse eest. ","H317 Võib põhjustada allergilist nahareaktsiooni;H319 Põhjustab tugevat silmade ärritust;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H332 Sissehingamisel kahjulik;H335 Võib põhjustada hingamisteede ärritust;H410 Väga mürgine veeorganismidele, pikaajaline toime",Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Raske silmakahjustus/silmade ärritus - Eye Irrit. 2;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Äge mürgisus - Acute Tox. 4;Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3,GHS07;GHS09;Hoiatus,"biksafeen, protiokonasool, fluoksastrobiin","Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",Bayer AG,"1 l, 3 l, 5 l,10 l, 15 l",,38089250
00770,Input Triple,Fungitsiid,,Emulsioonikontsentraat,BAYER AG,"Bayer AG, Kaiser-Willhelm-Allee 1, 51373 Leverkusen, Germany",True,00770,2020-01-24,2027-05-31,True,"SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 5 m pinnaveekogudest.;SP1 Vältida vahendi või selle pakendi vette sattumist.;P391 Mahavoolanud toode kokku koguda. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P305+P351+P338+ P310 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P308+P313 Kokkupuute või kokkupuutekahtluse korral: pöörduda arsti poole. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust;P403+P233 Hoida hästi ventileeritavas kohas. Hoida mahuti tihedalt suletuna. ;P260 Auru ja pihustatud ainet mitte sisse hingata;P410 Hoida päikesevalguse eest. ","H410 Väga mürgine veeorganismidele, pikaajaline toime;H332 Sissehingamisel kahjulik;H317 Võib põhjustada allergilist nahareaktsiooni;H318 Põhjustab raskeid silmakahjustusi;H351 Arvatavasti põhjustab vähktõbe;H335 Võib põhjustada hingamisteede ärritust;H361d Arvatavasti kahjustab loodet;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H373 Võib kahjustada elundeid (silmad) pikaajalisel või korduval kokkupuutel.",Ohtlik vesikeskkonnale - Aquatic Acute 1;Äge mürgisus - Acute Tox. 4;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Kantserogeensus - Carc. 2;Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3;Mürgisus sihtelundi suhtes – korduv kokkupuude - STOT RE 2;Reproduktiivtoksilisus - Repr. 2;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS09;GHS05;GHS07;GHS08;Ettevaatust,"Prokinasiid, spiroksamiin","Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany.",Bayer AG.,"1L, 3L, 5 L, 10L ja 15L. COEX/PA  ja COEX/EVOH pudelid",,38089220
116,Grodyl,Herbitsiid,,Vees dispergeeruvad graanulid,BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,116,2009-07-14,2026-08-15,True,P391 Mahavoolanud toode kokku koguda. ;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).,"H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit",Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS09;Hoiatus,,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",Bayer AG,"16 g;  120 g (0.25 l), 250 g (0.5 l), 500 g, 600 g (1 l), 1 kg (1.8 l)",,38089323
376,Falcon Forte,Fungitsiid,,Emulsioonikontsentraat,BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,376,2010-04-22,2027-05-31,True,"SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;P305+P351+P338+ P310 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. Võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga.;P261 Vältida auru ja pihustatud aine sissehingamist;P410 Hoida päikesevalguse eest. ;P308+P313 Kokkupuute või kokkupuutekahtluse korral: pöörduda arsti poole. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust;P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ","H302+H332 Allaneelamisel või sissehingamisel kahjulik;H317 Võib põhjustada allergilist nahareaktsiooni;H318 Põhjustab raskeid silmakahjustusi;H361d Arvatavasti kahjustab loodet;H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H335 Võib põhjustada hingamisteede ärritust;H373 Võib kahjustada elundeid (silmad) pikaajalisel või korduval kokkupuutel.",Äge mürgisus - Acute Tox. 4;Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Raske silmakahjustus/silmade ärritus - Eye Dam. 1;Reproduktiivtoksilisus - Repr. 2;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3;Mürgisus sihtelundi suhtes – korduv kokkupuude - STOT RE 2,GHS05;GHS07;GHS08;GHS09;Ettevaatust,"Sisaldab ohtlikke aineid: protiokonasool, spiroksamiin, tebukonasool, N,N-dimetüüldekanamiid","Bayer CropScience, 16, rue Jean-Marie Leclair, CS 90106, F-69266 Lyon Cedex 09, France",Bayer S.A.S.,"1 l HDPE pudel, 5 l HDPE kanister, 15 l HDPE kanister, 200 l HDPE vaat",,38089250
189,Puma Universal,Herbitsiid,,"Emulsioon, õli vees",BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,189,2009-07-14,2026-08-15,True,"P261 Vältida tolmu/suitsu/gaasi/udu/auru/pihustatud aine sissehingamist. ;P272 Saastunud töörõivaid töökohast mitte välja viia. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ;P333+P313 Nahaärrituse või lööbe korral: pöörduda arsti poole. ;P363 Saastunud rõivad enne järgmist kasutamist pesta. ;P391 Mahavoolanud toode kokku koguda. ;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P101 Arsti poole pöördudes võtta kaasa toote pekend või etikett.;P102 Hoida lastele kättesaamatus kohas.","H317 Võib põhjustada allergilist nahareaktsiooni;H411 Mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;EUH066 Korduv kokkupuude võib põhjustada naha kuivust või lõhenemist",Hingamisteede/naha sensibiliseerimine - Skin Sens. 1;Ohtlik vesikeskkonnale - Aquatic Chronic 2,GHS07;GHS09;Hoiatus,,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",Bayer AG,"0,5 l, 1 l, 5 l, 15 l",,38089311
00924,Buster Star 75 WG,Herbitsiid,,Vees dispergeeruvad graanulid,STAR AGRO HANDELS GMBH,"Europapark 1, 8412 Allerheiligen, Austria",True,00924,2025-06-05,2026-06-30,True,P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P260 Tolmu ja pihustatud ainet mitte sisse hingata;P314 Halva enesetunde korral pöörduda arsti poole. ,"EUH208 Sisaldab metüültribenurooni. Võib esile kutsuda allergilise reaktsiooni.;H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H373 Võib kahjustada elundeid pikaajalisel või korduval kokkupuutel",Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Mürgisus sihtelundi suhtes – korduv kokkupuude - STOT RE 2;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Mürgisus sihtelundi suhtes – korduv kokkupuude - STOT RE 2,GHS09;GHS08;Hoiatus,Metüültribenuroon,"St.-Peter Str. 25, A-4021 Linz, Austria",Nufarm GmbH & Co KG,"100 g, 250 g, 500 g",,38089323
373,Fox 480 SC,Herbitsiid,,Suspensioonikontsentraat,ADAMA REGISTRATIONS B.V.,"P.O. Box 355, 3830 AK Leusden, The Netherlands",True,373,2010-03-02,2028-03-31,True,P102 Hoida lastele kättesaamatus kohas.;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 15 m pinnaveekogudest.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P391 Mahavoolanud toode kokku koguda. ,"EUH208 Sisaldab 1,2-bensisotiasool-3(2H)-ooni. Võib esile kutsuda allergilise reaktsiooni.;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H410 Väga mürgine veeorganismidele, pikaajaline toime",Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1,GHS09;Hoiatus,"Bifenoks ja 1,2-bensisotiasool-3-(2H)-one","Strassburger Strasse 5, D-37269 Eschwege, Germany",ADAMA Deutschland GmbH,5 l,,38089327
286,Input,Fungitsiid,,Emulsioonikontsentraat,BAYER AG,"Kaiser-Wilhelm-Allee 1, 51373 Leverkusen, Germany",True,286,2010-12-21,2027-05-31,True,"P391 Mahavoolanud toode kokku koguda. ;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 10 m pinnaveekogudest.;P261 Vältida auru ja pihustatud aine sissehingamist;P410 Hoida päikesevalguse eest. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P302+P352 NAHALE SATTUMISE KORRAL: pesta rohke vee ja seebiga. ;P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ;P362+P364 Võtta seljast saastunud rõivad ja pesta enne korduskasutust","H302+H332 Allaneelamisel või sissehingamisel kahjulik;H315 Põhjustab nahaärritust;H319 Põhjustab tugevat silmade ärritust;H410 Väga mürgine veeorganismidele, pikaajaline toime;EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;H335 Võib põhjustada hingamisteede ärritust;H361d Arvatavasti kahjustab loodet;H373 Võib kahjustada elundeid (silmad) pikaajalisel või korduval kokkupuutel.;EUH208 Sisaldab spiroksamiini. Võib esile kutsuda allergilise reaktsiooni.",Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3;Reproduktiivtoksilisus - Repr. 2;Mürgisus sihtelundi suhtes – korduv kokkupuude - STOT RE 2;Äge mürgisus - Acute Tox. 4;Nahasöövitus/-ärritus - Skin Irrit. 2;Raske silmakahjustus/silmade ärritus - Eye Irrit. 2;Ohtlik vesikeskkonnale - Aquatic Acute 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1,GHS07;GHS09;GHS08;Hoiatus,"Sisaldab ohtlikke aineid protiokonasool ja N,N-dimetüüldekanamiid","Bayer CropScience, 16, rue Jean-Marie Leclair, CS 90106, F-69266 Lyon Cedex 09, France",Bayer S.A.S.,"1 l HDPE pudel, 3 l HDPE kanister, 5 l HDPE kanister,  15 l HDPE vaat",,38089250
436,Difenzone,Fungitsiid,,Emulsioonikontsentraat,SHARDA EUROPE B.V.B.A.,"Jozef Mertensstraat 142, 1702 Dilbeek, Belgium",True,436,2012-03-13,2027-03-15,True,"P305+P351+P338 SILMA SATTUMISE KORRAL: loputada mitme minuti jooksul ettevaatlikult veega. Eemaldada kontaktläätsed, kui neid kasutatakse ja kui neid on kerge eemaldada. Loputada veel kord. ;P331 MITTE kutsuda esile oksendamist. ;P301+P310 ALLANEELAMISE KORRAL: võtta viivitamata ühendust MÜRGISTUSTEABEKESKUSE või arstiga. ;P280 Kanda kaitsekindaid, kaitserõivastust, kaitseprille ja kaitsemaski.;P102 Hoida lastele kättesaamatus kohas.;SPe3 Veeorganismide kaitsmiseks pidada kinni mittepritsitavast puhvervööndist 20 m pinnaveekogudest.;P261 Vältida pihustatud aine sissehingamist.;SP1 Vältida vahendi või selle pakendi vette sattumist (Seadmeid pinnavee lähedal mitte puhastada/Vältida saastamist läbi lauda ja teede drenaažide).;P501 Sisu/mahuti kõrvaldada vastavalt kohalikule seadusandlusele;P391 Mahavoolanud toode kokku koguda. ;P337+P313 Kui silmade ärritus ei möödu: pöörduda arsti poole. ","EUH401 Inimeste tervise ja keskkonna ohustamise vältimiseks järgida kasutusjuhendit;EUH066 Korduv kokkupuude võib põhjustada naha kuivust või lõhenemist;H410 Väga mürgine veeorganismidele, pikaajaline toime;H336 Võib põhjustada unisust või peapööritust;H319 Põhjustab tugevat silmade ärritust;H304 Allaneelamisel või hingamisteedesse sattumisel võib olla surmav",Hingamiskahjustused - Asp. Tox. 1;Ohtlik vesikeskkonnale - Aquatic Chronic 1;Ohtlik vesikeskkonnale - Aquatic Acute 1;Mürgisus sihtelundi suhtes – ühekordne kokkupuude - STOT SE 3;Raske silmakahjustus/silmade ärritus - Eye Irrit. 2,GHS09;GHS08;GHS07;Ettevaatust,Sisaldab ohtlikke aineid: aromaatsete süsivesinike segu,"Domnic Holm, 29th Road, Bandra (West), Mumbai – 400050, India.",Sharda Worldwide Exports Pvt. Ltd.,1 l HDPE konteiner,,38089250
